Deal No.,Status,Deal Created,Enquiry Date,Trader,Responsibility Center,Customer Key,Customer Name
ENQ05197,Fixed,TRUE,7/19/2024,Trader5,RC5,C-79,Customer 79
ENQ05204,Lost,FALSE,11/16/2021,Trader48,RC48,C-1457,Customer 1457
ENQ05196,Lost,FALSE,11/20/2023,Trader42,RC42,C-9999,Customer 9999
ENQ05198,Lost,FALSE,12/19/2022,Trader26,RC26,C-271,Customer 271
ENQ05203,Lost,FALSE,8/23/2023,Trader18,RC18,C-1469,Customer 1469
ENQ05199,Lost,FALSE,9/11/2025,Trader17,RC17,C-2108,Customer 2108
ENQ05205,Lost,FALSE,2/20/2025,Trader99,RC99,C-9999,Customer 9999
ENQ05206,Lost,FALSE,4/3/2024,Trader65,RC65,C-83,Customer 83
ENQ05212,Lost,FALSE,7/15/2024,Trader63,RC63,C-1191,Customer 1191
ENQ05209,Lost,FALSE,5/30/2022,Trader58,RC58,C-1872,Customer 1872
ENQ05213,Fixed,TRUE,5/4/2021,Trader5,RC5,C-1150,Customer 1150
ENQ05208,Fixed,TRUE,5/20/2021,Trader36,RC36,C-232,Customer 232
ENQ05207,Fixed,TRUE,2/22/2022,Trader26,RC26,C-658,Customer 658
ENQ05211,Fixed,TRUE,11/20/2025,Trader20,RC20,C-1238,Customer 1238
ENQ05210,Lost,FALSE,12/5/2020,Trader19,RC19,C-1467,Customer 1467
ENQ05220,Fixed,TRUE,10/5/2022,Trader71,RC71,C-1092,Customer 1092
ENQ05217,Lost,FALSE,6/9/2022,Trader63,RC63,C-1188,Customer 1188
ENQ05219,Lost,FALSE,11/19/2025,Trader48,RC48,C-1103,Customer 1103
ENQ05216,Fixed,TRUE,10/16/2022,Trader44,RC44,C-618,Customer 618
ENQ05214,Fixed,TRUE,10/26/2021,Trader26,RC26,C-841,Customer 841
ENQ05215,Fixed,TRUE,9/18/2022,Trader26,RC26,C-733,Customer 733
ENQ05218,Fixed,TRUE,1/17/2021,Trader26,RC26,C-1122,Customer 1122
ENQ05226,Fixed,TRUE,4/10/2021,Trader70,RC70,C-2119,Customer 2119
ENQ05223,Fixed,TRUE,8/10/2021,Trader65,RC65,C-83,Customer 83
ENQ05227,Lost,FALSE,12/4/2021,Trader63,RC63,C-1403,Customer 1403
ENQ05224,Fixed,TRUE,7/30/2025,Trader60,RC60,C-625,Customer 625
ENQ05228,Fixed,TRUE,7/16/2025,Trader52,RC52,C-1260,Customer 1260
ENQ05221,Fixed,TRUE,9/24/2025,Trader44,RC44,C-956,Customer 956
ENQ05222,Lost,FALSE,3/6/2020,Trader26,RC26,C-939,Customer 939
ENQ05225,Fixed,TRUE,8/17/2020,Trader26,RC26,C-262,Customer 262
ENQ05229,Lost,FALSE,9/28/2022,Trader18,RC18,C-1079,Customer 1079
ENQ05232,Lost,FALSE,10/3/2022,Trader58,RC58,C-674,Customer 674
ENQ05235,Lost,FALSE,4/18/2025,Trader48,RC48,C-1399,Customer 1399
ENQ05230,Lost,FALSE,6/2/2022,Trader44,RC44,C-9999,Customer 9999
ENQ05233,Lost,FALSE,2/27/2020,Trader36,RC36,C-207,Customer 207
ENQ05234,Lost,FALSE,5/8/2025,Trader17,RC17,C-1485,Customer 1485
ENQ05231,Lost,FALSE,9/27/2020,Trader15,RC15,C-763,Customer 763
ENQ05236,Lost,FALSE,2/19/2025,Trader71,RC71,C-943,Customer 943
ENQ05237,Lost,FALSE,5/28/2025,Trader71,RC71,C-675,Customer 675
ENQ05238,Lost,FALSE,8/19/2024,Trader63,RC63,C-1427,Customer 1427
ENQ05242,Fixed,TRUE,12/6/2024,Trader64,RC64,C-1258,Customer 1258
ENQ05239,Fixed,TRUE,11/10/2021,Trader26,RC26,C-880,Customer 880
ENQ05240,Fixed,TRUE,5/10/2021,Trader26,RC26,C-734,Customer 734
ENQ05243,Fixed,TRUE,3/2/2025,Trader26,RC26,C-1122,Customer 1122
ENQ05241,Fixed,TRUE,10/18/2025,Trader15,RC15,C-620,Customer 620
ENQ05244,Lost,FALSE,8/15/2024,Trader14,RC14,C-1039,Customer 1039
ENQ05245,Lost,FALSE,2/10/2025,Trader58,RC58,C-941,Customer 941
ENQ05250,Fixed,TRUE,9/27/2025,Trader53,RC53,C-1203,Customer 1203
ENQ05246,Fixed,TRUE,6/4/2021,Trader5,RC5,C-676,Customer 676
ENQ05249,Fixed,TRUE,12/14/2022,Trader48,RC48,C-1289,Customer 1289
ENQ05248,Fixed,TRUE,11/24/2023,Trader40,RC40,C-1596,Customer 1596
ENQ05247,Lost,FALSE,11/22/2025,Trader26,RC26,C-271,Customer 271
ENQ05258,Fixed,TRUE,1/16/2023,Trader6,RC6,C-2139,Customer 2139
ENQ05252,Lost,FALSE,11/9/2022,Trader58,RC58,C-942,Customer 942
ENQ05260,Lost,FALSE,1/7/2023,Trader58,RC58,C-2015,Customer 2015
ENQ05257,Lost,FALSE,5/21/2021,Trader5,RC5,C-344,Customer 344
ENQ05254,Lost,FALSE,6/13/2025,Trader44,RC44,C-767,Customer 767
ENQ05253,Lost,FALSE,9/16/2024,Trader41,RC41,C-916,Customer 916
ENQ05256,Fixed,TRUE,7/7/2023,Trader36,RC36,C-357,Customer 357
ENQ05259,Fixed,TRUE,2/12/2020,Trader36,RC36,C-207,Customer 207
ENQ05251,Lost,FALSE,1/3/2025,Trader21,RC21,C-9999,Customer 9999
ENQ05261,Lost,FALSE,11/4/2020,Trader20,RC20,C-1052,Customer 1052
ENQ05255,Lost,FALSE,9/15/2021,Trader19,RC19,C-712,Customer 712
ENQ05263,Fixed,TRUE,1/13/2025,Trader65,RC65,C-83,Customer 83
ENQ05266,Lost,FALSE,9/23/2024,Trader65,RC65,C-188,Customer 188
ENQ05262,Fixed,TRUE,6/12/2024,Trader52,RC52,C-879,Customer 879
ENQ05272,Fixed,TRUE,9/1/2023,Trader52,RC52,C-1233,Customer 1233
ENQ05273,Lost,FALSE,11/7/2020,Trader52,RC52,C-1222,Customer 1222
ENQ05264,Fixed,TRUE,10/5/2023,Trader5,RC5,C-642,Customer 642
ENQ05275,Lost,FALSE,5/3/2024,Trader5,RC5,C-1150,Customer 1150
ENQ05271,Lost,FALSE,6/30/2020,Trader48,RC48,C-1366,Customer 1366
ENQ05268,Fixed,TRUE,1/10/2020,Trader40,RC40,C-1791,Customer 1791
ENQ05276,Lost,FALSE,7/1/2021,Trader4,RC4,C-1013,Customer 1013
ENQ05270,Lost,FALSE,10/8/2023,Trader37,RC37,C-1487,Customer 1487
ENQ05269,Lost,FALSE,10/5/2024,Trader27,RC27,C-1656,Customer 1656
ENQ05265,Fixed,TRUE,7/4/2022,Trader26,RC26,C-271,Customer 271
ENQ05267,Fixed,TRUE,11/26/2024,Trader26,RC26,C-185,Customer 185
ENQ05274,Lost,FALSE,9/7/2022,Trader17,RC17,C-1177,Customer 1177
ENQ05279,Lost,FALSE,9/26/2025,Trader71,RC71,C-352,Customer 352
ENQ05283,Fixed,TRUE,10/17/2024,Trader71,RC71,C-1316,Customer 1316
ENQ05282,Fixed,TRUE,11/23/2022,Trader7,RC7,C-1537,Customer 1537
ENQ05288,Fixed,TRUE,9/24/2022,Trader62,RC62,C-1034,Customer 1034
ENQ05281,Lost,FALSE,9/27/2023,Trader58,RC58,C-167,Customer 167
ENQ05287,Lost,FALSE,5/25/2025,Trader58,RC58,C-1054,Customer 1054
ENQ05284,Lost,FALSE,1/23/2020,Trader52,RC52,C-1295,Customer 1295
ENQ05280,Lost,FALSE,2/27/2024,Trader51,RC51,C-1838,Customer 1838
ENQ05286,Lost,FALSE,5/5/2024,Trader48,RC48,C-1167,Customer 1167
ENQ05285,Lost,FALSE,6/10/2020,Trader36,RC36,C-1180,Customer 1180
ENQ05277,Lost,FALSE,12/13/2024,Trader26,RC26,C-841,Customer 841
ENQ05278,Fixed,TRUE,8/10/2021,Trader19,RC19,C-707,Customer 707
ENQ05292,Fixed,TRUE,5/20/2023,Trader71,RC71,C-675,Customer 675
ENQ05293,Fixed,TRUE,3/27/2024,Trader71,RC71,C-352,Customer 352
ENQ05291,Fixed,TRUE,5/28/2021,Trader65,RC65,C-83,Customer 83
ENQ05297,Lost,FALSE,4/3/2020,Trader58,RC58,C-1358,Customer 1358
ENQ05298,Fixed,TRUE,5/22/2025,Trader56,RC56,C-1284,Customer 1284
ENQ05295,Fixed,TRUE,10/6/2022,Trader51,RC51,C-268,Customer 268
ENQ05290,Fixed,TRUE,6/17/2022,Trader26,RC26,C-939,Customer 939
ENQ05294,Lost,FALSE,1/13/2023,Trader26,RC26,C-322,Customer 322
ENQ05296,Fixed,TRUE,7/28/2023,Trader26,RC26,C-185,Customer 185
ENQ05289,Lost,FALSE,10/21/2021,Trader25,RC25,C-982,Customer 982
ENQ05308,Fixed,TRUE,4/10/2021,Trader58,RC58,C-1358,Customer 1358
ENQ05309,Lost,FALSE,5/18/2023,Trader52,RC52,C-1183,Customer 1183
ENQ05299,Fixed,TRUE,1/30/2022,Trader51,RC51,C-971,Customer 971
ENQ05304,Lost,FALSE,12/14/2025,Trader47,RC47,C-1629,Customer 1629
ENQ05305,Lost,FALSE,6/9/2025,Trader47,RC47,C-1620,Customer 1620
ENQ05302,Lost,FALSE,10/15/2021,Trader46,RC46,C-1942,Customer 1942
ENQ05311,Fixed,TRUE,10/14/2021,Trader44,RC44,C-1007,Customer 1007
ENQ05303,Lost,FALSE,3/21/2024,Trader42,RC42,C-1639,Customer 1639
ENQ05301,Lost,FALSE,6/21/2024,Trader35,RC35,C-1951,Customer 1951
ENQ05310,Lost,FALSE,8/29/2021,Trader29,RC29,C-1079,Customer 1079
ENQ05307,Lost,FALSE,3/9/2020,Trader19,RC19,C-1406,Customer 1406
ENQ05300,Lost,FALSE,6/18/2020,Trader17,RC17,C-211,Customer 211
ENQ05306,Lost,FALSE,2/5/2023,Trader17,RC17,C-1502,Customer 1502
ENQ05315,Lost,FALSE,5/19/2020,Trader71,RC71,C-643,Customer 643
ENQ05316,Lost,FALSE,10/10/2021,Trader58,RC58,C-2192,Customer 2192
ENQ05312,Lost,FALSE,1/8/2020,Trader5,RC5,C-79,Customer 79
ENQ05313,Fixed,TRUE,1/31/2025,Trader44,RC44,C-75,Customer 75
ENQ05317,Lost,FALSE,3/29/2021,Trader42,RC42,C-1930,Customer 1930
ENQ05314,Lost,FALSE,11/27/2024,Trader26,RC26,C-724,Customer 724
ENQ05320,Fixed,TRUE,3/19/2022,Trader71,RC71,C-263,Customer 263
ENQ05322,Lost,FALSE,6/29/2021,Trader53,RC53,C-1056,Customer 1056
ENQ05319,Fixed,TRUE,7/24/2025,Trader36,RC36,C-03,Customer 3
ENQ05321,Fixed,TRUE,7/8/2025,Trader26,RC26,C-1594,Customer 1594
ENQ05318,Fixed,TRUE,2/3/2024,Trader23,RC23,C-891,Customer 891
ENQ05328,Fixed,TRUE,6/5/2022,Trader8,RC8,C-1897,Customer 1897
ENQ05327,Lost,FALSE,3/31/2023,Trader71,RC71,C-232,Customer 232
ENQ05329,Fixed,TRUE,1/10/2020,Trader58,RC58,C-1331,Customer 1331
ENQ05326,Lost,FALSE,11/10/2023,Trader51,RC51,C-373,Customer 373
ENQ05323,Lost,FALSE,6/4/2024,Trader42,RC42,C-9999,Customer 9999
ENQ05324,Lost,FALSE,3/10/2022,Trader42,RC42,C-9999,Customer 9999
ENQ05330,Fixed,TRUE,10/7/2024,Trader36,RC36,C-1114,Customer 1114
ENQ05331,Lost,FALSE,4/13/2020,Trader29,RC29,C-1079,Customer 1079
ENQ05325,Fixed,TRUE,5/17/2025,Trader19,RC19,C-812,Customer 812
ENQ05332,Lost,FALSE,1/19/2023,Trader8,RC8,C-9999,Customer 9999
ENQ05339,Fixed,TRUE,12/5/2024,Trader8,RC8,C-1902,Customer 1902
ENQ05337,Lost,FALSE,3/3/2021,Trader76,RC76,C-2227,Customer 2227
ENQ05338,Lost,FALSE,6/13/2021,Trader74,RC74,C-2062,Customer 2062
ENQ05333,Lost,FALSE,12/13/2022,Trader71,RC71,C-689,Customer 689
ENQ05334,Lost,FALSE,4/18/2020,Trader58,RC58,C-687,Customer 687
ENQ05340,Lost,FALSE,12/7/2023,Trader52,RC52,C-1517,Customer 1517
ENQ05335,Fixed,TRUE,11/1/2022,Trader5,RC5,C-676,Customer 676
ENQ05336,Lost,FALSE,10/15/2023,Trader5,RC5,C-643,Customer 643
ENQ05349,Fixed,TRUE,3/15/2021,Trader7,RC7,C-1570,Customer 1570
ENQ05345,Lost,FALSE,5/17/2020,Trader65,RC65,C-83,Customer 83
ENQ05347,Lost,FALSE,5/24/2020,Trader52,RC52,C-1984,Customer 1984
ENQ05346,Lost,FALSE,7/18/2025,Trader51,RC51,C-2277,Customer 2277
ENQ05350,Lost,FALSE,6/18/2022,Trader51,RC51,C-147,Customer 147
ENQ05344,Lost,FALSE,2/22/2022,Trader48,RC48,C-922,Customer 922
ENQ05341,Lost,FALSE,9/2/2023,Trader26,RC26,C-9999,Customer 9999
ENQ05348,Lost,FALSE,4/22/2022,Trader26,RC26,C-1611,Customer 1611
ENQ05343,Lost,FALSE,3/20/2020,Trader23,RC23,C-983,Customer 983
ENQ05352,Fixed,TRUE,5/29/2024,Trader20,RC20,C-1052,Customer 1052
ENQ05342,Lost,FALSE,6/18/2021,Trader19,RC19,C-9999,Customer 9999
ENQ05351,Fixed,TRUE,5/16/2023,Trader19,RC19,C-1282,Customer 1282
ENQ05354,Lost,FALSE,4/4/2024,Trader65,RC65,C-83,Customer 83
ENQ05359,Fixed,TRUE,7/1/2025,Trader52,RC52,C-1845,Customer 1845
ENQ05356,Lost,FALSE,11/22/2023,Trader51,RC51,C-373,Customer 373
ENQ05355,Fixed,TRUE,5/8/2025,Trader5,RC5,C-676,Customer 676
ENQ05353,Lost,FALSE,12/7/2024,Trader48,RC48,C-922,Customer 922
ENQ05358,Fixed,TRUE,11/28/2021,Trader44,RC44,C-216,Customer 216
ENQ05360,Fixed,TRUE,9/26/2020,Trader32,RC32,C-1766,Customer 1766
ENQ05362,Fixed,TRUE,6/15/2021,Trader29,RC29,C-1243,Customer 1243
ENQ05357,Fixed,TRUE,9/1/2025,Trader26,RC26,C-322,Customer 322
ENQ05361,Fixed,TRUE,7/2/2021,Trader11,RC11,C-1538,Customer 1538
ENQ05364,Fixed,TRUE,4/24/2022,Trader58,RC58,C-687,Customer 687
ENQ05367,Lost,FALSE,9/17/2020,Trader52,RC52,C-1949,Customer 1949
ENQ05365,Fixed,TRUE,8/5/2023,Trader5,RC5,C-676,Customer 676
ENQ05366,Lost,FALSE,1/5/2021,Trader42,RC42,C-1950,Customer 1950
ENQ05369,Fixed,TRUE,11/9/2021,Trader27,RC27,C-1689,Customer 1689
ENQ05370,Lost,FALSE,3/11/2025,Trader27,RC27,C-1513,Customer 1513
ENQ05363,Approved,FALSE,9/23/2023,Trader26,RC26,C-841,Customer 841
ENQ05368,Fixed,TRUE,12/25/2021,Trader20,RC20,C-1837,Customer 1837
ENQ05371,Fixed,TRUE,1/21/2025,Trader20,RC20,C-1059,Customer 1059
ENQ05377,Lost,FALSE,12/27/2024,Trader71,RC71,C-1092,Customer 1092
ENQ05373,Fixed,TRUE,4/26/2023,Trader5,RC5,C-676,Customer 676
ENQ05374,Fixed,TRUE,12/8/2020,Trader5,RC5,C-676,Customer 676
ENQ05375,Fixed,TRUE,10/13/2022,Trader5,RC5,C-642,Customer 642
ENQ05376,Fixed,TRUE,1/14/2021,Trader5,RC5,C-1175,Customer 1175
ENQ05372,Lost,FALSE,7/31/2023,Trader44,RC44,C-767,Customer 767
ENQ05385,Lost,FALSE,2/27/2020,Trader63,RC63,C-1156,Customer 1156
ENQ05380,Lost,FALSE,8/19/2024,Trader58,RC58,C-674,Customer 674
ENQ05379,Lost,FALSE,8/14/2025,Trader52,RC52,C-879,Customer 879
ENQ05382,Fixed,TRUE,6/7/2024,Trader52,RC52,C-2144,Customer 2144
ENQ05386,Fixed,TRUE,1/13/2022,Trader41,RC41,C-1142,Customer 1142
ENQ05384,Lost,FALSE,10/19/2023,Trader36,RC36,C-136,Customer 136
ENQ05383,Lost,FALSE,3/10/2021,Trader29,RC29,C-1915,Customer 1915
ENQ05381,Fixed,TRUE,2/21/2025,Trader26,RC26,C-322,Customer 322
ENQ05378,Lost,FALSE,2/24/2023,Trader19,RC19,C-9999,Customer 9999
ENQ05390,Lost,FALSE,12/16/2024,Trader71,RC71,C-395,Customer 395
ENQ05392,Lost,FALSE,7/26/2025,Trader71,RC71,C-232,Customer 232
ENQ05388,Lost,FALSE,10/20/2023,Trader52,RC52,C-436,Customer 436
ENQ05389,Lost,FALSE,7/10/2025,Trader52,RC52,C-436,Customer 436
ENQ05387,Fixed,TRUE,3/7/2025,Trader5,RC5,C-676,Customer 676
ENQ05394,Lost,FALSE,9/9/2021,Trader5,RC5,C-1150,Customer 1150
ENQ05393,Fixed,TRUE,3/27/2020,Trader27,RC27,C-1869,Customer 1869
ENQ05391,Lost,FALSE,1/20/2025,Trader17,RC17,C-371,Customer 371
ENQ05398,Lost,FALSE,6/23/2021,Trader71,RC71,C-691,Customer 691
ENQ05399,Lost,FALSE,2/28/2020,Trader52,RC52,C-1433,Customer 1433
ENQ05400,Lost,FALSE,5/25/2024,Trader5,RC5,C-1150,Customer 1150
ENQ05395,Lost,FALSE,10/10/2022,Trader36,RC36,C-9999,Customer 9999
ENQ05401,Lost,FALSE,9/5/2020,Trader36,RC36,C-1114,Customer 1114
ENQ05396,Fixed,TRUE,11/15/2020,Trader26,RC26,C-939,Customer 939
ENQ05397,Lost,FALSE,8/3/2021,Trader23,RC23,C-912,Customer 912
ENQ05405,Fixed,TRUE,1/5/2023,Trader52,RC52,C-436,Customer 436
ENQ05410,Lost,FALSE,2/18/2023,Trader52,RC52,C-1183,Customer 1183
ENQ05407,Lost,FALSE,3/8/2020,Trader46,RC46,C-1942,Customer 1942
ENQ05404,Fixed,TRUE,3/8/2025,Trader44,RC44,C-618,Customer 618
ENQ05403,Fixed,TRUE,1/29/2023,Trader36,RC36,C-73,Customer 73
ENQ05406,Lost,FALSE,12/31/2020,Trader36,RC36,C-357,Customer 357
ENQ05409,Lost,FALSE,10/5/2021,Trader30,RC30,C-1390,Customer 1390
ENQ05402,Lost,FALSE,9/10/2020,Trader26,RC26,C-731,Customer 731
ENQ05411,Fixed,TRUE,5/27/2025,Trader26,RC26,C-1122,Customer 1122
ENQ05412,Fixed,TRUE,12/21/2025,Trader20,RC20,C-1059,Customer 1059
ENQ05408,Lost,FALSE,10/8/2021,Trader12,RC12,C-147,Customer 147
ENQ05415,Lost,FALSE,11/19/2023,Trader71,RC71,C-352,Customer 352
ENQ05420,Lost,FALSE,10/29/2020,Trader71,RC71,C-1092,Customer 1092
ENQ05421,Lost,FALSE,10/8/2020,Trader63,RC63,C-1001,Customer 1001
ENQ05414,Lost,FALSE,1/16/2023,Trader58,RC58,C-864,Customer 864
ENQ05416,Lost,FALSE,3/21/2024,Trader48,RC48,C-31,Customer 31
ENQ05418,Lost,FALSE,7/18/2024,Trader27,RC27,C-1689,Customer 1689
ENQ05419,Fixed,TRUE,3/24/2023,Trader26,RC26,C-1122,Customer 1122
ENQ05413,Fixed,TRUE,5/5/2024,Trader25,RC25,C-971,Customer 971
ENQ05417,Lost,FALSE,6/28/2021,Trader17,RC17,C-211,Customer 211
ENQ05423,Fixed,TRUE,12/18/2020,Trader5,RC5,C-79,Customer 79
ENQ05428,Fixed,TRUE,4/3/2020,Trader41,RC41,C-1085,Customer 1085
ENQ05427,Lost,FALSE,10/11/2020,Trader36,RC36,C-1114,Customer 1114
ENQ05422,Fixed,TRUE,10/3/2024,Trader26,RC26,C-939,Customer 939
ENQ05424,Lost,FALSE,5/9/2023,Trader17,RC17,C-211,Customer 211
ENQ05429,Fixed,TRUE,11/12/2023,Trader15,RC15,C-1043,Customer 1043
ENQ05425,Fixed,TRUE,2/9/2023,Trader12,RC12,C-1551,Customer 1551
ENQ05426,Lost,FALSE,2/23/2025,Trader12,RC12,C-1513,Customer 1513
ENQ05433,Lost,FALSE,5/25/2023,Trader71,RC71,C-352,Customer 352
ENQ05432,Fixed,TRUE,4/28/2023,Trader58,RC58,C-727,Customer 727
ENQ05431,Lost,FALSE,11/9/2020,Trader52,RC52,C-86,Customer 86
ENQ05430,Lost,FALSE,11/1/2025,Trader5,RC5,C-981,Customer 981
ENQ05434,Fixed,TRUE,7/12/2020,Trader44,RC44,C-1106,Customer 1106
ENQ05439,Lost,FALSE,12/29/2020,Trader8,RC8,C-1897,Customer 1897
ENQ05435,Fixed,TRUE,2/11/2025,Trader58,RC58,C-947,Customer 947
ENQ05438,Lost,FALSE,6/26/2021,Trader58,RC58,C-1934,Customer 1934
ENQ05443,Fixed,TRUE,8/29/2023,Trader5,RC5,C-1114,Customer 1114
ENQ05442,Fixed,TRUE,8/12/2024,Trader48,RC48,C-1235,Customer 1235
ENQ05440,Lost,FALSE,12/18/2023,Trader42,RC42,C-1660,Customer 1660
ENQ05436,Lost,FALSE,7/7/2025,Trader26,RC26,C-939,Customer 939
ENQ05437,Lost,FALSE,2/3/2024,Trader26,RC26,C-322,Customer 322
ENQ05441,Fixed,TRUE,8/15/2020,Trader18,RC18,C-1479,Customer 1479
ENQ05455,Fixed,TRUE,12/18/2021,Trader53,RC53,C-1050,Customer 1050
ENQ05446,Lost,FALSE,12/31/2023,Trader51,RC51,C-856,Customer 856
ENQ05453,Lost,FALSE,5/15/2025,Trader5,RC5,C-1150,Customer 1150
ENQ05448,Fixed,TRUE,3/12/2021,Trader44,RC44,C-75,Customer 75
ENQ05452,Lost,FALSE,9/28/2023,Trader42,RC42,C-1660,Customer 1660
ENQ05444,Lost,FALSE,10/28/2022,Trader4,RC4,C-948,Customer 948
ENQ05451,Fixed,TRUE,5/6/2023,Trader38,RC38,C-2094,Customer 2094
ENQ05449,Fixed,TRUE,2/20/2023,Trader26,RC26,C-658,Customer 658
ENQ05445,Lost,FALSE,6/2/2025,Trader23,RC23,C-891,Customer 891
ENQ05447,Fixed,TRUE,10/8/2020,Trader19,RC19,C-812,Customer 812
ENQ05450,Lost,FALSE,9/4/2024,Trader17,RC17,C-371,Customer 371
ENQ05454,Lost,FALSE,10/25/2020,Trader10,RC10,C-1079,Customer 1079
ENQ05462,Lost,FALSE,6/2/2022,Trader52,RC52,C-1214,Customer 1214
ENQ05458,Fixed,TRUE,8/26/2023,Trader5,RC5,C-642,Customer 642
ENQ05459,Lost,FALSE,3/16/2020,Trader5,RC5,C-307,Customer 307
ENQ05456,Lost,FALSE,2/24/2023,Trader42,RC42,C-9999,Customer 9999
ENQ05461,Lost,FALSE,8/14/2025,Trader28,RC28,C-2038,Customer 2038
ENQ05457,Lost,FALSE,5/17/2024,Trader26,RC26,C-731,Customer 731
ENQ05460,Lost,FALSE,2/12/2023,Trader26,RC26,C-271,Customer 271
ENQ05463,Lost,FALSE,11/29/2020,Trader14,RC14,C-1039,Customer 1039
ENQ05472,Lost,FALSE,10/5/2022,Trader64,RC64,C-1294,Customer 1294
ENQ05468,Lost,FALSE,12/10/2023,Trader58,RC58,C-674,Customer 674
ENQ05466,Lost,FALSE,5/28/2024,Trader5,RC5,C-839,Customer 839
ENQ05473,Lost,FALSE,6/23/2022,Trader48,RC48,C-1235,Customer 1235
ENQ05469,Fixed,TRUE,10/24/2022,Trader39,RC39,C-253,Customer 253
ENQ05464,Lost,FALSE,6/28/2021,Trader32,RC32,C-9999,Customer 9999
ENQ05471,Lost,FALSE,9/18/2023,Trader29,RC29,C-1469,Customer 1469
ENQ05467,Lost,FALSE,8/1/2025,Trader26,RC26,C-734,Customer 734
ENQ05470,Lost,FALSE,5/6/2022,Trader17,RC17,C-211,Customer 211
ENQ05465,Lost,FALSE,6/24/2025,Trader15,RC15,C-842,Customer 842
ENQ05475,Fixed,TRUE,10/10/2022,Trader58,RC58,C-687,Customer 687
ENQ05477,Lost,FALSE,4/18/2022,Trader51,RC51,C-1825,Customer 1825
ENQ05479,Fixed,TRUE,3/27/2021,Trader48,RC48,C-1366,Customer 1366
ENQ05481,Lost,FALSE,2/6/2022,Trader41,RC41,C-1034,Customer 1034
ENQ05476,Lost,FALSE,2/20/2024,Trader26,RC26,C-189,Customer 189
ENQ05474,Lost,FALSE,10/5/2021,Trader23,RC23,C-876,Customer 876
ENQ05480,Fixed,TRUE,9/13/2025,Trader18,RC18,C-1116,Customer 1116
ENQ05478,Lost,FALSE,5/23/2022,Trader17,RC17,C-1471,Customer 1471
ENQ05486,Lost,FALSE,1/31/2025,Trader52,RC52,C-1413,Customer 1413
ENQ05484,Lost,FALSE,12/26/2020,Trader46,RC46,C-362,Customer 362
ENQ05485,Fixed,TRUE,3/6/2021,Trader26,RC26,C-271,Customer 271
ENQ05482,Lost,FALSE,5/10/2023,Trader23,RC23,C-960,Customer 960
ENQ05483,Lost,FALSE,7/10/2024,Trader19,RC19,C-711,Customer 711
ENQ05492,Lost,FALSE,1/9/2023,Trader52,RC52,C-1183,Customer 1183
ENQ05487,Lost,FALSE,11/5/2025,Trader48,RC48,C-363,Customer 363
ENQ05490,Fixed,TRUE,5/25/2020,Trader48,RC48,C-1315,Customer 1315
ENQ05491,Fixed,TRUE,4/29/2023,Trader48,RC48,C-1289,Customer 1289
ENQ05489,Fixed,TRUE,7/17/2022,Trader39,RC39,C-136,Customer 136
ENQ05488,Fixed,TRUE,2/21/2021,Trader36,RC36,C-242,Customer 242
ENQ05493,Lost,FALSE,1/2/2021,Trader20,RC20,C-1099,Customer 1099
ENQ05495,Fixed,TRUE,5/29/2024,Trader65,RC65,C-83,Customer 83
ENQ05501,Lost,FALSE,12/20/2020,Trader63,RC63,C-1470,Customer 1470
ENQ05502,Fixed,TRUE,1/7/2025,Trader60,RC60,C-1313,Customer 1313
ENQ05499,Lost,FALSE,4/29/2022,Trader5,RC5,C-261,Customer 261
ENQ05496,Lost,FALSE,2/3/2021,Trader36,RC36,C-787,Customer 787
ENQ05497,Fixed,TRUE,10/17/2023,Trader26,RC26,C-271,Customer 271
ENQ05498,Fixed,TRUE,11/4/2025,Trader26,RC26,C-271,Customer 271
ENQ05494,Lost,FALSE,8/14/2022,Trader23,RC23,C-876,Customer 876
ENQ05500,Lost,FALSE,9/23/2024,Trader20,RC20,C-1837,Customer 1837
ENQ05507,Lost,FALSE,5/22/2021,Trader6,RC6,C-2130,Customer 2130
ENQ05505,Fixed,TRUE,5/29/2025,Trader58,RC58,C-727,Customer 727
ENQ05509,Lost,FALSE,6/30/2020,Trader48,RC48,C-1306,Customer 1306
ENQ05503,Lost,FALSE,1/19/2021,Trader42,RC42,C-9999,Customer 9999
ENQ05508,Lost,FALSE,5/13/2024,Trader42,RC42,C-1426,Customer 1426
ENQ05510,Lost,FALSE,11/14/2021,Trader4,RC4,C-1056,Customer 1056
ENQ05506,Lost,FALSE,3/12/2021,Trader26,RC26,C-322,Customer 322
ENQ05504,Fixed,TRUE,6/21/2025,Trader23,RC23,C-926,Customer 926
ENQ05512,Lost,FALSE,4/3/2020,Trader65,RC65,C-83,Customer 83
ENQ05515,Fixed,TRUE,2/9/2022,Trader52,RC52,C-1854,Customer 1854
ENQ05516,Lost,FALSE,10/30/2021,Trader51,RC51,C-1781,Customer 1781
ENQ05517,Lost,FALSE,1/17/2020,Trader51,RC51,C-1776,Customer 1776
ENQ05511,Fixed,TRUE,4/12/2020,Trader48,RC48,C-920,Customer 920
ENQ05514,Fixed,TRUE,3/25/2025,Trader47,RC47,C-1988,Customer 1988
ENQ05518,Lost,FALSE,4/9/2024,Trader27,RC27,C-1689,Customer 1689
ENQ05513,Fixed,TRUE,8/18/2025,Trader26,RC26,C-725,Customer 725
ENQ05519,Fixed,TRUE,3/25/2025,Trader18,RC18,C-1533,Customer 1533
